1,1e-07,0,0,0
1,6.9335e-08,3.7508e-08,3.3873e-09,3.4216e-11
1,6.2142e-08,6.1392e-08,1.1649e-08,1.1767e-10
1,6.6113e-08,8.1226e-08,2.3433e-08,2.3669e-10
1,7.6306e-08,1.0143e-07,3.8477e-08,3.8866e-10
1,9.095e-08,1.2431e-07,5.7052e-08,5.7628e-10
1,1.0969e-07,1.5139e-07,7.973e-08,8.0535e-10
1,1.3283e-07,1.8396e-07,1.0731e-07,1.084e-09
1,1.611e-07,2.2337e-07,1.4081e-07,1.4223e-09
1,1.9548e-07,2.7115e-07,1.8148e-07,1.8332e-09
1,2.3724e-07,3.2913e-07,2.3085e-07,2.3318e-09
1,2.8794e-07,3.9948e-07,2.9078e-07,2.9371e-09
1,3.4948e-07,4.8488e-07,3.6351e-07,3.6718e-09
1,4.2418e-07,5.8852e-07,4.5179e-07,4.5635e-09
1,5.1485e-07,7.1431e-07,5.5894e-07,5.6458e-09
1,6.249e-07,8.67e-07,6.8899e-07,6.9595e-09
1,7.5846e-07,1.0523e-06,8.4684e-07,8.5539e-09
1,9.2058e-07,1.2772e-06,1.0384e-06,1.0489e-08
1,1.1174e-06,1.5503e-06,1.271e-06,1.2838e-08
1,1.3562e-06,1.8816e-06,1.5532e-06,1.5689e-08
0.99999,1.6461e-06,2.2838e-06,1.8958e-06,1.9149e-08
0.99999,1.9979e-06,2.772e-06,2.3116e-06,2.3349e-08
0.99999,2.4249e-06,3.3644e-06,2.8163e-06,2.8447e-08
0.99999,2.9433e-06,4.0836e-06,3.4288e-06,3.4635e-08
0.99999,3.5724e-06,4.9564e-06,4.1723e-06,4.2144e-08
0.99998,4.3359e-06,6.0158e-06,5.0747e-06,5.1259e-08
0.99998,5.2627e-06,7.3017e-06,6.17e-06,6.2323e-08
0.99998,6.3876e-06,8.8624e-06,7.4993e-06,7.5751e-08
0.99997,7.7528e-06,1.0757e-05,9.1129e-06,9.2049e-08
0.99997,9.4099e-06,1.3056e-05,1.1071e-05,1.1183e-07
0.99996,1.1421e-05,1.5846e-05,1.3448e-05,1.3584e-07
0.99995,1.3862e-05,1.9233e-05,1.6333e-05,1.6498e-07
0.99994,1.6825e-05,2.3344e-05,1.9835e-05,2.0035e-07
0.99993,2.0421e-05,2.8333e-05,2.4085e-05,2.4328e-07
0.99991,2.4785e-05,3.4389e-05,2.9244e-05,2.9539e-07
0.99989,3.0082e-05,4.1739e-05,3.5505e-05,3.5863e-07
0.99987,3.651e-05,5.0659e-05,4.3104e-05,4.3539e-07
0.99984,4.4312e-05,6.1486e-05,5.2327e-05,5.2855e-07
0.99981,5.3781e-05,7.4625e-05,6.3521e-05,6.4163e-07
0.99977,6.5273e-05,9.0573e-05,7.7107e-05,7.7886e-07
0.99972,7.9218e-05,0.00010993,9.3597e-05,9.4542e-07
0.99966,9.6141e-05,0.00013341,0.00011361,1.1476e-06
0.99958,0.00011668,0.00016192,0.0001379,1.3929e-06
0.99949,0.0001416,0.00019651,0.00016738,1.6907e-06
0.99938,0.00017183,0.00023849,0.00020315,2.0521e-06
0.99925,0.00020852,0.00028943,0.00024657,2.4906e-06
0.99909,0.00025302,0.00035123,0.00029926,3.0228e-06
0.9989,0.00030701,0.00042622,0.0003632,3.6687e-06
0.99867,0.00037249,0.00051719,0.00044079,4.4524e-06
0.99838,0.00045188,0.00062755,0.00053494,5.4034e-06
0.99803,0.00054813,0.0007614,0.00064917,6.5573e-06
0.99762,0.00066474,0.00092369,0.00078776,7.9572e-06
0.99711,0.00080587,0.0011204,0.00095588,9.6554e-06
0.99649,0.0009764,0.0013587,0.0011598,1.1715e-05
0.99575,0.0011817,0.0016469,0.001407,1.4212e-05
0.99485,0.001427,0.0019948,0.0017065,1.7238e-05
0.99378,0.0017157,0.0024124,0.0020691,2.09e-05
0.99251,0.002045,0.0029088,0.002507,2.5323e-05
0.99105,0.0023973,0.0034872,0.0030335,3.0642e-05
0.98943,0.002731,0.0041368,0.0036617,3.6987e-05
0.98775,0.0029824,0.0048234,0.0044008,4.4452e-05
0.98611,0.0030983,0.0054896,0.0052523,5.3054e-05
0.98458,0.0030758,0.0060731,0.0062077,6.2704e-05
0.98319,0.0029591,0.0065322,0.0072495,7.3228e-05
0.9819,0.0028045,0.0068562,0.0083559,8.4403e-05
0.98069,0.0026539,0.0070589,0.0095054,9.6014e-05
0.97952,0.0025292,0.0071668,0.01068,0.00010788
0.97837,0.0024377,0.0072084,0.011867,0.00011987
0.97723,0.0023773,0.0072091,0.013057,0.00013189
0.97608,0.0023423,0.0071881,0.014245,0.00014388
0.97493,0.0023256,0.0071589,0.015428,0.00015584
0.97378,0.0023207,0.0071294,0.016607,0.00016775
0.97261,0.0023226,0.007104,0.017781,0.00017961
0.97145,0.0023274,0.0070842,0.018952,0.00019143
0.97027,0.0023327,0.0070698,0.020119,0.00020323
0.9691,0.0023374,0.0070599,0.021285,0.000215
0.96793,0.0023408,0.0070535,0.022449,0.00022676
0.96676,0.0023429,0.0070492,0.023613,0.00023851
0.96558,0.0023437,0.0070463,0.024776,0.00025026
0.96441,0.0023437,0.007044,0.025938,0.000262
0.96324,0.002343,0.0070419,0.0271,0.00027374
0.96207,0.0023419,0.0070396,0.028262,0.00028547
0.9609,0.0023406,0.0070372,0.029423,0.0002972
0.95973,0.0023393,0.0070345,0.030584,0.00030893
0.95857,0.0023379,0.0070316,0.031745,0.00032065
0.9574,0.0023366,0.0070286,0.032905,0.00033237
0.95623,0.0023353,0.0070254,0.034064,0.00034408
