date,R0,low,high
2020-01-29,NA,NA,NA
2020-01-30,13.0675549910643,11.610344356395,14.5965255285662
2020-01-31,8.38699730805407,7.5114558906652,9.30276690916549
2020-02-01,6.14103235497297,5.5511290714036,6.75577971744959
2020-02-02,4.19443203764622,3.79565991612891,4.60981841339988
2020-02-03,3.06154357291888,2.77292617584227,3.36208021056419
2020-02-04,2.418596859465,2.19468019187419,2.65158786138427
2020-02-05,2.08330476086073,1.8969373235112,2.27695953138773
2020-02-06,1.74496664249147,1.58839340546183,1.90768150513594
2020-02-07,1.59092523575158,1.45090705375952,1.73632626486647
2020-02-08,1.48147826850874,1.35313498379444,1.61467521582956
2020-02-09,1.46252802872124,1.34007596377785,1.58944970325537
2020-02-10,1.32054751106886,1.20803706600158,1.43723977890963
2020-02-11,1.25946778807577,1.15259834780059,1.37029257979964
2020-02-12,1.15942705466813,1.05940665819215,1.26321344615823
2020-02-13,1.02841319320062,0.936274838802403,1.12416000502944
2020-02-14,0.984122973471048,0.895550043372641,1.07618122322549
2020-02-15,0.945042588904455,0.859330500699842,1.03415454009402
2020-02-16,0.91218699426365,0.828542359080027,0.999187620741386
2020-02-17,0.851664939872233,0.770970233713963,0.935709771565282
2020-02-18,0.898791040647901,0.815579862276129,0.985374393411762
2020-02-19,0.978905692111793,0.891466831821491,1.06975823121435
2020-02-20,1.00747676381014,0.918021895147738,1.10040236684498
2020-02-21,1.04079804868986,0.949062966904384,1.13606514926596
2020-02-22,1.1452800305826,1.04836198330192,1.24577506391188
2020-02-23,1.17254453872979,1.0742420021239,1.27444012814467
2020-02-24,1.31614292697626,1.21207608703486,1.42378942929007
2020-02-25,1.23493474711239,1.13478622583863,1.33861970452514
2020-02-26,1.18528283523922,1.08819567106471,1.28583404414178
2020-02-27,1.10381553959948,1.01151877404086,1.19947661645472
2020-02-28,0.947636345453813,0.863619409010812,1.03490800621809
2020-02-29,0.806080322949469,0.729833684902343,0.885486842215087
