Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-02-02 04:32:38,32.3182,-86.9023,1223896,17146,,,1.0,24961.244578778897,6976847.0,,1.400936027244145,84000001.0,USA,142292.14276026704,
Alaska,US,2022-02-02 04:32:38,61.3707,-152.4044,216939,1085,,,2.0,29654.908447190533,3741734.0,,0.5001405925167904,84000002.0,USA,511483.7774846387,
American Samoa,US,2022-02-02 04:32:38,-14.270999999999999,-170.132,18,0,,,60.0,32.35024532269369,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-02-02 04:32:38,33.7298,-111.4312,1878211,26345,,,4.0,25804.149275208805,17479247.0,,1.4026645568575629,84000004.0,USA,240141.8684089517,
Arkansas,US,2022-02-02 04:32:38,34.9697,-92.3731,781396,9667,,,5.0,25892.86779393228,4828334.0,,1.2371448023793314,84000005.0,USA,159994.9499702433,
California,US,2022-02-02 04:32:38,36.1162,-119.6816,8477892,80176,,,6.0,21393.53181925502,137293965.0,,0.948484927351752,84000006.0,USA,347472.13539466,
Colorado,US,2022-02-02 04:32:38,39.0598,-105.3111,1256557,11164,,,8.0,21820.013975289017,15953369.0,,0.8884594968632541,84000008.0,USA,277029.0042814951,
Connecticut,US,2022-02-02 04:32:38,41.5978,-72.7554,700640,10076,,,9.0,19651.713873244982,12796053.0,,1.4381137245946565,84000009.0,USA,358906.6742733474,
Delaware,US,2022-02-02 04:32:38,39.3185,-75.5071,248447,2544,,,10.0,25514.087602334857,3009542.0,,1.0239608447676969,84000010.0,USA,309062.7708561828,
Diamond Princess,US,2022-02-02 04:32:38,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-02-02 04:32:38,38.8974,-77.0268,130949,1290,,,11.0,18554.61360908765,2907615.0,,0.9851163430037648,84000011.0,USA,411989.956769333,
Florida,US,2022-02-02 04:32:38,27.7663,-81.6868,5555874,65271,,,12.0,25868.060494455254,51611690.0,,1.1748106598529773,84000012.0,USA,240303.20326578172,
Georgia,US,2022-02-02 04:32:38,33.0406,-83.6431,2378278,33053,,,13.0,22399.76687375081,15919955.0,,1.3897870644222416,84000013.0,USA,149941.79849479484,
Grand Princess,US,2022-02-02 04:32:38,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-02-02 04:32:38,13.4443,144.7937,33108,294,,,66.0,20159.65511572256,321088.0,,0.8880028996013049,316.0,GUM,195512.36383342766,
Hawaii,US,2022-02-02 04:32:38,21.0943,-157.4983,220356,1181,,,15.0,15563.271256158747,3394742.0,,0.5359509157908112,84000015.0,USA,239763.34018894364,
