Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-12-15 03:32:57,32.3182,-86.9023,854229,16285,,,1.0,17421.920649536984,6380355.0,,1.9063974648484188,84000001.0,USA,130126.74414691675,
Alaska,US,2021-12-15 03:32:57,61.3707,-152.4044,153835,887,,,2.0,21028.781551374148,3606719.0,,0.5765918029057107,84000002.0,USA,493027.633296653,
American Samoa,US,2021-12-15 03:32:57,-14.270999999999999,-170.132,10,0,,,60.0,17.97235851260761,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-12-15 03:32:57,33.7298,-111.4312,1320748,23243,,,4.0,18145.340724196307,15055255.0,,1.7598360928807009,84000004.0,USA,206839.40590079266,
Arkansas,US,2021-12-15 03:32:57,34.9697,-92.3731,539483,8880,,,5.0,17876.674562032524,4307535.0,,1.6460203565265263,84000005.0,USA,142737.40110358392,
California,US,2021-12-15 03:32:57,36.1162,-119.6816,5175149,75428,,,6.0,13103.274396887264,115283141.0,,1.4568716507046495,84000006.0,USA,291765.7682788437,
Colorado,US,2021-12-15 03:32:57,39.0598,-105.3111,860004,9740,,,8.0,14933.902161863298,13554347.0,,1.1325528718471076,84000008.0,USA,235370.17498284343,
Connecticut,US,2021-12-15 03:32:57,41.5978,-72.7554,450315,9000,,,9.0,12630.539981774258,11330031.0,,1.99860097931448,84000009.0,USA,317787.3478348307,
Delaware,US,2021-12-15 03:32:57,39.3185,-75.5071,161650,2225,,,10.0,16600.53154563118,2530567.0,,1.3764305598515312,84000010.0,USA,259874.7745860393,
Diamond Princess,US,2021-12-15 03:32:57,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-12-15 03:32:57,38.8974,-77.0268,69540,1203,,,11.0,9853.36146420328,2473461.0,,1.7299396031061258,84000011.0,USA,350473.1852259089,
Florida,US,2021-12-15 03:32:57,27.7663,-81.6868,3754042,62073,,,12.0,17478.75951735511,44736850.0,,1.6534977498919832,84000012.0,USA,208294.05816823253,
Georgia,US,2021-12-15 03:32:57,33.0406,-83.6431,1683676,30882,,,13.0,15857.67092447951,13402922.0,,1.8342008795041331,84000013.0,USA,126235.17024799707,
Grand Princess,US,2021-12-15 03:32:57,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-12-15 03:32:57,13.4443,144.7937,19340,269,,,66.0,11776.23927564559,268111.0,,1.3908996897621508,316.0,GUM,163254.35824367194,
Hawaii,US,2021-12-15 03:32:57,21.0943,-157.4983,89593,1058,,,15.0,6327.761266555169,2849378.0,,1.1808958289152054,84000015.0,USA,201245.45156624328,
Idaho,US,2021-12-15 03:32:57,44.2405,-114.4788,312591,4049,,,16.0,17491.865153198116,1068323.0,,1.295302807822362,84000016.0,USA,59780.869750121026,
Illinois,US,2021-12-15 03:32:57,40.3495,-88.9861,1911649,29367,,,17.0,15085.827048851148,41304940.0,,1.536212976336137,84000017.0,USA,325958.9920028069,
Indiana,US,2021-12-15 03:32:57,39.8494,-86.2583,1166283,18176,,,18.0,17323.90167343041,15972736.0,,1.558455366321896,84000018.0,USA,237258.1165288889,
Iowa,US,2021-12-15 03:32:57,42.0115,-93.2105,549642,7550,,,19.0,17420.91300668448,1796176.0,,1.3736213753679667,84000019.0,USA,56929.83039995942,
Kansas,US,2021-12-15 03:32:57,38.5266,-96.7265,490151,6879,,,20.0,16824.516684435665,1957330.0,,1.403445060807792,84000020.0,USA,67185.68612926723,
Kentucky,US,2021-12-15 03:32:57,37.6681,-84.6701,817818,11676,,,21.0,18305.234067041165,7976080.0,,1.4277015179416448,84000021.0,USA,178528.73296680395,
Louisiana,US,2021-12-15 03:32:57,31.1695,-91.8678,777106,14884,,,22.0,16716.29244057706,10490624.0,,1.9153114246962448,84000022.0,USA,225663.34408450878,
Maine,US,2021-12-15 03:32:57,44.6939,-69.3819,131380,1376,,,23.0,9773.755925404625,3263877.0,,1.0473435834982494,84000023.0,USA,242809.69073330692,
Maryland,US,2021-12-15 03:32:57,39.0639,-76.8021,605862,11255,,,24.0,9803.347183443384,15198334.0,,1.8990043514280075,84000024.0,USA,251391.6383268714,
Massachusetts,US,2021-12-15 03:32:57,42.2302,-71.5301,985946,19725,,,25.0,14304.614738651546,34717336.0,,2.000616666632858,84000025.0,USA,503697.07492328977,
Michigan,US,2021-12-15 03:32:57,43.3266,-84.5361,1585297,27080,,,26.0,15873.832978683884,19398259.0,,1.7081972652443045,84000026.0,USA,194237.87684153282,
Minnesota,US,2021-12-15 03:32:57,45.6945,-93.9002,969450,10088,,,27.0,17189.95140108433,13375810.0,,1.0405900252720617,84000027.0,USA,237175.2270360903,
Mississippi,US,2021-12-15 03:32:57,32.7416,-89.6787,520259,10340,,,28.0,17480.946014463658,2725553.0,,1.98747162471,84000028.0,USA,91579.85705688797,
Missouri,US,2021-12-15 03:32:57,38.4561,-92.2884,949201,15722,,,29.0,15465.778172876326,8092170.0,,1.6563404379051434,84000029.0,USA,131849.53045477686,
Montana,US,2021-12-15 03:32:57,46.9219,-110.4544,194108,2853,,,30.0,18161.676232108068,2252880.0,,1.4698003173491043,84000030.0,USA,210790.2670152268,
Nebraska,US,2021-12-15 03:32:57,41.1254,-98.2681,323702,3271,,,31.0,16733.905153411277,4305215.0,,1.0104973092535727,84000031.0,USA,222559.82191967766,
Nevada,US,2021-12-15 03:32:57,38.3135,-117.0554,466583,8226,,,32.0,15148.031463341467,4922259.0,,1.7630303718738145,84000032.0,USA,159805.50985079978,
New Hampshire,US,2021-12-15 03:32:57,43.4525,-71.5639,178967,1810,,,33.0,13162.135189021785,2988627.0,,1.0113596361340358,84000033.0,USA,219798.69251627734,
New Jersey,US,2021-12-15 03:32:57,40.2989,-74.521,1311119,28613,,,34.0,14761.213169274695,16441689.0,,2.182334326632441,84000034.0,USA,185108.50364606027,
New Mexico,US,2021-12-15 03:32:57,34.8405,-106.2485,332975,5491,,,35.0,15879.931076878467,5467207.0,,1.6490727532097005,84000035.0,USA,260736.9032000225,
New York,US,2021-12-15 03:32:57,42.1657,-74.9481,2868885,58287,,,36.0,14747.351397515344,83509484.0,,2.031695240485415,84000036.0,USA,429276.07958255045,
North Carolina,US,2021-12-15 03:32:57,35.6301,-79.8064,1577154,19033,,,37.0,15037.579790550877,18222493.0,,1.2067940099698569,84000037.0,USA,173744.72782635991,
North Dakota,US,2021-12-15 03:32:57,47.5289,-99.78399999999999,167818,2005,,,38.0,22021.567798945493,1994259.0,,1.194746689866403,84000038.0,USA,261692.486963003,
Northern Mariana Islands,US,2021-12-15 03:32:57,15.0979,145.6739,2018,6,,,69.0,3659.509647468448,17542.0,,0.2973240832507433,580.0,MNP,31811.25779776585,
Ohio,US,2021-12-15 03:32:57,40.3888,-82.7649,1796951,29635,,,39.0,15372.877295942373,18598525.0,,1.5356011377049237,84000039.0,USA,159109.98280449308,
Oklahoma,US,2021-12-15 03:32:57,35.5653,-96.9289,684340,12118,,,40.0,17294.541708796954,4754354.0,,1.7707572259403217,84000040.0,USA,120151.3480892329,
Oregon,US,2021-12-15 03:32:57,44.571999999999996,-122.0709,402436,5469,,,41.0,9541.514798101447,8320361.0,,1.3589738492580186,84000041.0,USA,197270.74020973805,
Pennsylvania,US,2021-12-15 03:32:57,40.5908,-77.2098,1850578,34731,,,42.0,14455.39439223077,20553819.0,,1.8767649891007023,84000042.0,USA,160551.7626987494,
