Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-09-03 04:32:21,32.3182,-86.9023,709732,12330,,,1.0,14474.917834020132,5449263.0,,1.7372754786313707,84000001.0,USA,111137.20979322624,
Alaska,US,2021-09-03 04:32:21,61.3707,-152.4044,90060,448,,,2.0,12310.93097485459,2749094.0,,0.49744614701310236,84000002.0,USA,375792.8767198191,
American Samoa,US,2021-09-03 04:32:21,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-09-03 04:32:21,33.7298,-111.4312,1020133,18879,,,4.0,14015.285935694435,11802319.0,,1.8506410438638883,84000004.0,USA,162148.34290164046,
Arkansas,US,2021-09-03 04:32:21,34.9697,-92.3731,458234,7003,,,5.0,15184.352595463457,3646699.0,,1.5282584880214038,84000005.0,USA,120839.49123269768,
California,US,2021-09-03 04:32:21,36.1162,-119.6816,4493947,65769,,,6.0,11384.82388095451,82684535.0,,1.4620541495114816,84000006.0,USA,209263.18167418728,
Colorado,US,2021-09-03 04:32:21,39.0598,-105.3111,620268,7170,,,8.0,10770.905281992436,10206863.0,,1.1559519433535181,84000008.0,USA,177241.37727445745,
Connecticut,US,2021-09-03 04:32:21,41.5978,-72.7554,374470,8394,,,9.0,10503.221760267827,9521912.0,,2.241568082890485,84000009.0,USA,267072.8050785252,
Delaware,US,2021-09-03 04:32:21,39.3185,-75.5071,120727,1888,,,10.0,12397.97322554541,2065610.0,,1.5638589545006503,84000010.0,USA,212126.34683557824,
Diamond Princess,US,2021-09-03 04:32:21,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-09-03 04:32:21,38.8974,-77.0268,55718,1161,,,11.0,7894.874806765578,1866914.0,,2.0837072400301517,84000011.0,USA,264529.4573566523,
Florida,US,2021-09-03 04:32:21,27.7663,-81.6868,3291225,45909,,,12.0,15323.89096672522,37489558.0,,1.3948909600528678,84000012.0,USA,174550.7825149363,
Georgia,US,2021-09-03 04:32:21,33.0406,-83.6431,1421696,23006,,,13.0,13390.217193004366,10523934.0,,1.6182081120014404,84000013.0,USA,99119.47560156547,
Grand Princess,US,2021-09-03 04:32:21,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-09-03 04:32:21,13.4443,144.7937,10909,150,,,66.0,6642.553994726875,203185.0,,1.3750114584288202,316.0,GUM,123720.53656784125,
Hawaii,US,2021-09-03 04:32:21,21.0943,-157.4983,65025,606,,,15.0,4592.576165077069,2122428.0,,0.9319492502883506,84000015.0,USA,149902.5335623559,
Idaho,US,2021-09-03 04:32:21,44.2405,-114.4788,224156,2379,,,16.0,12543.248286995717,883966.0,,1.0613144417280822,84000016.0,USA,49464.68091535562,
Illinois,US,2021-09-03 04:32:21,40.3495,-88.9861,1532344,26463,,,17.0,12092.531925758736,28965563.0,,1.7269620920628788,84000017.0,USA,228582.48234409245,
Indiana,US,2021-09-03 04:32:21,39.8494,-86.2583,868129,14545,,,18.0,12895.139032167552,12336129.0,,1.6754422441826042,84000018.0,USA,183240.16197334047,
Iowa,US,2021-09-03 04:32:21,42.0115,-93.2105,408390,6307,,,19.0,12943.928343903623,1582989.0,,1.544357109625603,84000019.0,USA,50172.86462740922,
Kansas,US,2021-09-03 04:32:21,38.5266,-96.7265,374148,5585,,,20.0,12842.693921767444,1624609.0,,1.4927248040882217,84000020.0,USA,55764.98104907332,
Kentucky,US,2021-09-03 04:32:21,37.6681,-84.6701,587414,7821,,,21.0,13148.097454760005,6246578.0,,1.3314289410875464,84000021.0,USA,139817.26057390502,
Louisiana,US,2021-09-03 04:32:21,31.1695,-91.8678,694275,12656,,,22.0,14934.518500927337,8577330.0,,1.8229087897446976,84000022.0,USA,184506.56234713775,
Maine,US,2021-09-03 04:32:21,44.6939,-69.3819,76913,937,,,23.0,5721.790907981776,2529049.0,,1.2182595920065529,84000023.0,USA,188143.6112756024,
Maryland,US,2021-09-03 04:32:21,39.0639,-76.8021,499648,10040,,,24.0,8264.54592370089,12041049.0,,2.0094146278980403,84000024.0,USA,199167.81900464464,
Massachusetts,US,2021-09-03 04:32:21,42.2302,-71.5301,763673,18272,,,25.0,11079.763041089718,26237920.0,,2.392647114668189,84000025.0,USA,380673.3199825956,
Michigan,US,2021-09-03 04:32:21,43.3266,-84.5361,1065671,21616,,,26.0,10670.734546414353,15302271.0,,2.0283933784441914,84000026.0,USA,153224.09242467376,
Minnesota,US,2021-09-03 04:32:21,45.6945,-93.9002,653288,7932,,,27.0,11583.876394771858,10401750.0,,1.2141658808978582,84000027.0,USA,184440.22588707926,
Mississippi,US,2021-09-03 04:32:21,32.7416,-89.6787,443511,8507,,,28.0,14902.177276742528,2300828.0,,1.9181034968692998,84000028.0,USA,77308.89817680499,
Missouri,US,2021-09-03 04:32:21,38.4561,-92.2884,769986,11104,,,29.0,12545.743917484653,6577188.0,,1.442104142153234,84000029.0,USA,107165.21643919896,
Montana,US,2021-09-03 04:32:21,46.9219,-110.4544,128835,1807,,,30.0,12054.421030373005,1646187.0,,1.4025691776303024,84000030.0,USA,154025.1577034707,
Nebraska,US,2021-09-03 04:32:21,41.1254,-98.2681,246218,2339,,,31.0,12728.33859247894,3400074.0,,0.9499711637654437,84000031.0,USA,175768.1936799269,
Nevada,US,2021-09-03 04:32:21,38.3135,-117.0554,393188,6565,,,32.0,12765.197606874457,4051322.0,,1.6696847309683918,84000032.0,USA,131529.76667415546,
New Hampshire,US,2021-09-03 04:32:21,43.4525,-71.5639,108319,1421,,,33.0,7966.3251970455485,2248149.0,,1.3118658776391954,84000033.0,USA,165340.20832368053,
New Jersey,US,2021-09-03 04:32:21,40.2989,-74.521,1096791,26919,,,34.0,12348.20466574122,15215855.0,,2.4543418025859074,84000034.0,USA,171307.47034233675,
New Mexico,US,2021-09-03 04:32:21,34.8405,-106.2485,234475,4544,,,35.0,11182.361556426395,4163289.0,,1.9379464761701675,84000035.0,USA,198551.670164806,
New York,US,2021-09-03 04:32:21,42.1657,-74.9481,2288001,54333,,,36.0,11761.347960920883,65445674.0,,2.3746930180537507,84000036.0,USA,336420.02099255763,
North Carolina,US,2021-09-03 04:32:21,35.6301,-79.8064,1228803,14625,,,37.0,11716.181907009897,14184773.0,,1.1901826411556613,84000037.0,USA,135246.5617170877,
North Dakota,US,2021-09-03 04:32:21,47.5289,-99.78399999999999,118491,1594,,,38.0,15548.734879839174,1667892.0,,1.3452498501995933,84000038.0,USA,218865.65660011914,
Northern Mariana Islands,US,2021-09-03 04:32:21,15.0979,145.6739,243,2,,,69.0,440.6644421877267,17542.0,,0.823045267489712,580.0,MNP,31811.25779776585,
Ohio,US,2021-09-03 04:32:21,40.3888,-82.7649,1235089,21545,,,39.0,10566.159926769384,14977065.0,,1.7439229075799396,84000039.0,USA,128128.47011318234,
Oklahoma,US,2021-09-03 04:32:21,35.5653,-96.9289,557770,8001,,,40.0,14095.882936721042,4306399.0,,1.434462233537121,84000040.0,USA,108830.69398284698,
