Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-11-04 04:32:32,32.3182,-86.9023,833493,15676,,,1.0,16999.011866776393,6070131.0,,1.8807596464517398,84000001.0,USA,123799.75464927385,
Alaska,US,2021-11-04 04:32:32,61.3707,-152.4044,140601,737,,,2.0,19219.73357756529,3342717.0,,0.5241783486603936,84000002.0,USA,456939.3543801133,
American Samoa,US,2021-11-04 04:32:32,-14.270999999999999,-170.132,4,0,,,60.0,7.188943405043044,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-11-04 04:32:32,33.7298,-111.4312,1175520,21273,,,4.0,16150.098980356017,13711447.0,,1.8096672111065741,84000004.0,USA,188377.2511007091,
Arkansas,US,2021-11-04 04:32:32,34.9697,-92.3731,514539,8434,,,5.0,17050.113261166065,4096481.0,,1.6391371693885206,84000005.0,USA,135743.77262406706,
California,US,2021-11-04 04:32:32,36.1162,-119.6816,4942139,72281,,,6.0,12521.816350348094,103282146.0,,1.4609163788531438,84000006.0,USA,261392.901128342,
Colorado,US,2021-11-04 04:32:32,39.0598,-105.3111,752998,8308,,,8.0,13075.751345434137,12179674.0,,1.1033229835935818,84000008.0,USA,211499.08591051926,
Connecticut,US,2021-11-04 04:32:32,41.5978,-72.7554,404218,8776,,,9.0,11337.600591481134,10668084.0,,2.1711056904937434,84000009.0,USA,299220.90423576,
Delaware,US,2021-11-04 04:32:32,39.3185,-75.5071,144755,2096,,,10.0,14865.511561322866,2396363.0,,1.4479638009049773,84000010.0,USA,246092.79045025285,
Diamond Princess,US,2021-11-04 04:32:32,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-11-04 04:32:32,38.8974,-77.0268,64602,1193,,,11.0,9153.679282577801,2244544.0,,1.8466920528776198,84000011.0,USA,318037.1491847668,
Florida,US,2021-11-04 04:32:32,27.7663,-81.6868,3690812,59670,,,12.0,17184.361648529357,42077154.0,,1.616717405275587,84000012.0,USA,195910.55612609466,
Georgia,US,2021-11-04 04:32:32,33.0406,-83.6431,1638606,29310,,,13.0,15433.179972202295,12464414.0,,1.7887155301518485,84000013.0,USA,117395.8501983014,
Grand Princess,US,2021-11-04 04:32:32,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-11-04 04:32:32,13.4443,144.7937,18410,245,,,66.0,11209.956828574734,249657.0,,1.3307984790874525,316.0,GUM,152017.60955738634,
Hawaii,US,2021-11-04 04:32:32,21.0943,-157.4983,84578,919,,,15.0,5973.56258192831,2567367.0,,1.0865709759038993,84000015.0,USA,181327.62001084845,
Idaho,US,2021-11-04 04:32:32,44.2405,-114.4788,294485,3600,,,16.0,16478.695514712672,1017550.0,,1.2224731310593069,84000016.0,USA,56939.73078763224,
Illinois,US,2021-11-04 04:32:32,40.3495,-88.9861,1705777,28331,,,17.0,13461.182887605499,35681902.0,,1.6608853326079551,84000017.0,USA,281584.64359621244,
Indiana,US,2021-11-04 04:32:32,39.8494,-86.2583,1029339,16841,,,18.0,15289.743248102892,14562657.0,,1.6360985059343909,84000018.0,USA,216312.88286967488,
