Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-12-31 04:33:06,32.3182,-86.9023,888563,16455,,,1.0,18122.159371918457,6527162.0,,1.8518664405337608,84000001.0,USA,133120.85919662422,
Alaska,US,2021-12-31 04:33:06,61.3707,-152.4044,157169,978,,,2.0,21484.52931808706,3685702.0,,0.6222601149081561,84000002.0,USA,503824.3717064569,
American Samoa,US,2021-12-31 04:33:06,-14.270999999999999,-170.132,10,0,,,60.0,17.97235851260761,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-12-31 04:33:06,33.7298,-111.4312,1368080,24171,,,4.0,18795.62016217968,15540380.0,,1.7667826442898076,84000004.0,USA,213504.3854569425,
Arkansas,US,2021-12-31 04:33:06,34.9697,-92.3731,562529,9131,,,5.0,18640.34244768713,4403164.0,,1.6232052036428344,84000005.0,USA,145906.22850258002,
California,US,2021-12-31 04:33:06,36.1162,-119.6816,5483193,76437,,,6.0,13809.450812220815,119700490.0,,1.4008633131497734,84000006.0,USA,302945.4708230413,
Colorado,US,2021-12-31 04:33:06,39.0598,-105.3111,919112,10240,,,8.0,15960.307956468225,14089893.0,,1.1141188451461843,84000008.0,USA,244669.8893646105,
Connecticut,US,2021-12-31 04:33:06,41.5978,-72.7554,510188,9160,,,9.0,14309.871827990286,11914711.0,,1.795416591530965,84000009.0,USA,334186.58862526354,
Delaware,US,2021-12-31 04:33:06,39.3185,-75.5071,176863,2286,,,10.0,18162.819738663577,2722921.0,,1.2925258533441135,84000010.0,USA,279628.4315296109,
Diamond Princess,US,2021-12-31 04:33:06,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-12-31 04:33:06,38.8974,-77.0268,94286,1211,,,11.0,13359.707204686085,2657438.0,,1.2843900473028869,84000011.0,USA,376541.5183018326,
Florida,US,2021-12-31 04:33:06,27.7663,-81.6868,4090000,62480,,,12.0,19042.97459271431,46289068.0,,1.5276283618581907,84000012.0,USA,215521.1603531601,
Georgia,US,2021-12-31 04:33:06,33.0406,-83.6431,1816441,31418,,,13.0,17108.115594527975,13965165.0,,1.7296460496101993,84000013.0,USA,131530.6454306285,
Grand Princess,US,2021-12-31 04:33:06,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-12-31 04:33:06,13.4443,144.7937,19607,270,,,66.0,11938.817139482064,275137.0,,1.3770592135461823,316.0,GUM,167532.53079541368,
Hawaii,US,2021-12-31 04:33:06,21.0943,-157.4983,109642,1085,,,15.0,7743.779098675586,2997729.0,,0.9895842833950492,84000015.0,USA,211723.16424083526,
Idaho,US,2021-12-31 04:33:06,44.2405,-114.4788,319382,4162,,,16.0,17871.873714722184,1086541.0,,1.3031416923934351,84000016.0,USA,60800.306648051424,
Illinois,US,2021-12-31 04:33:06,40.3495,-88.9861,2149548,30254,,,17.0,16963.213100942634,44273181.0,,1.4074586843373584,84000017.0,USA,349382.941883412,
Indiana,US,2021-12-31 04:33:06,39.8494,-86.2583,1246854,19037,,,18.0,18520.6987473224,16585780.0,,1.5268026569269535,84000018.0,USA,246364.23740820077,
Iowa,US,2021-12-31 04:33:06,42.0115,-93.2105,575501,7858,,,19.0,18240.514473529907,1828357.0,,1.3654190001407471,84000019.0,USA,57949.80776971668,
Kansas,US,2021-12-31 04:33:06,38.5266,-96.7265,520388,7006,,,20.0,17862.406867230926,2011163.0,,1.3463031430394243,84000020.0,USA,69033.51303704304,
Kentucky,US,2021-12-31 04:33:06,37.6681,-84.6701,856145,12118,,,21.0,19163.107953514056,8234520.0,,1.4154144449830344,84000021.0,USA,184313.3998392452,
Louisiana,US,2021-12-31 04:33:06,31.1695,-91.8678,828695,14986,,,22.0,17826.021114293297,10800332.0,,1.8083854735457559,84000022.0,USA,232325.4590330309,
Maine,US,2021-12-31 04:33:06,44.6939,-69.3819,145629,1527,,,23.0,10833.782171264653,3378759.0,,1.0485548894794303,84000023.0,USA,251356.11049447558,
Maryland,US,2021-12-31 04:33:06,39.0639,-76.8021,700553,11758,,,24.0,11587.66259544005,16140860.0,,1.6783883589107462,84000024.0,USA,266981.71256169694,
Massachusetts,US,2021-12-31 04:33:06,42.2302,-71.5301,1117911,20221,,,25.0,16219.231242989663,36035909.0,,1.808820201250368,84000025.0,USA,522827.614293385,
Michigan,US,2021-12-31 04:33:06,43.3266,-84.5361,1710325,29020,,,26.0,17125.75838424441,20075658.0,,1.6967535409936707,84000026.0,USA,201020.78161327433,
Minnesota,US,2021-12-31 04:33:06,45.6945,-93.9002,1022212,10656,,,27.0,18125.50889845295,13907415.0,,1.0424452070607662,84000027.0,USA,246601.4626486267,
Mississippi,US,2021-12-31 04:33:06,32.7416,-89.6787,543737,10450,,,28.0,18269.81780818097,2796741.0,,1.9218850289754053,84000028.0,USA,93971.80719110502,
Missouri,US,2021-12-31 04:33:06,38.4561,-92.2884,1012928,16221,,,29.0,16504.11214599992,8379864.0,,1.6011996904024768,84000029.0,USA,136537.06406005906,
Montana,US,2021-12-31 04:33:06,46.9219,-110.4544,197724,2906,,,30.0,18500.006549536007,2308836.0,,1.4697254759159233,84000030.0,USA,216025.77897374387,
Nebraska,US,2021-12-31 04:33:06,41.1254,-98.2681,338257,3338,,,31.0,17486.33173560076,4448619.0,,0.9868236281880346,84000031.0,USA,229973.14940798425,
Nevada,US,2021-12-31 04:33:06,38.3135,-117.0554,484641,8419,,,32.0,15734.300470495651,5043018.0,,1.7371621468262075,84000032.0,USA,163726.058030827,
New Hampshire,US,2021-12-31 04:33:06,43.4525,-71.5639,198667,1961,,,33.0,14610.97247871055,3121018.0,,0.987078880740133,84000033.0,USA,229535.3939182665,
New Jersey,US,2021-12-31 04:33:06,40.2989,-74.521,1530529,29000,,,34.0,17906.090727624607,16707887.0,,1.8233798798204035,84000034.0,USA,188105.48974971267,
New Mexico,US,2021-12-31 04:33:06,34.8405,-106.2485,350043,5855,,,35.0,16693.92210809751,5663606.0,,1.6726516456549625,84000035.0,USA,270103.3799131927,
New York,US,2021-12-31 04:33:06,42.1657,-74.9481,3402190,59434,,,36.0,17488.777504540172,87810472.0,,1.7469335927740661,84000036.0,USA,451385.0806029806,
North Carolina,US,2021-12-31 04:33:06,35.6301,-79.8064,1667493,19399,,,37.0,15898.928727115457,18831074.0,,1.1633632045231974,84000037.0,USA,179547.32246614352,
North Dakota,US,2021-12-31 04:33:06,47.5289,-99.78399999999999,173379,2052,,,38.0,22751.29845078222,2038123.0,,1.1835343380686243,84000038.0,USA,267448.44907632185,
Northern Mariana Islands,US,2021-12-31 04:33:06,15.0979,145.6739,3085,13,,,69.0,5594.443638473814,17542.0,,0.4213938411669368,580.0,MNP,31811.25779776585,
Ohio,US,2021-12-31 04:33:06,40.3888,-82.7649,1995497,31601,,,39.0,17071.43407105765,19246079.0,,1.4422472196149632,84000039.0,USA,164649.79339726755,
Oklahoma,US,2021-12-31 04:33:06,35.5653,-96.9289,704964,12419,,,40.0,17815.74846012265,4828342.0,,1.7616502402959584,84000040.0,USA,122021.16214650044,
Oregon,US,2021-12-31 04:33:06,44.571999999999996,-122.0709,421263,5655,,,41.0,9987.891611070107,8636672.0,,1.3423918074931809,84000041.0,USA,204770.2832111153,
Pennsylvania,US,2021-12-31 04:33:06,40.5908,-77.2098,2015367,36639,,,42.0,15742.608433736352,21355349.0,,1.8179815388462743,84000042.0,USA,166812.74292611875,
Puerto Rico,US,2021-12-31 04:33:06,18.2208,-66.5901,257948,3298,,,72.0,8076.7913269085875,3437448.0,,1.2785522663482562,630.0,PRI,107632.35300564174,
Rhode Island,US,2021-12-31 04:33:06,41.6809,-71.5118,231096,3066,,,44.0,21814.65996954768,6577421.0,,1.3267213625506282,84000044.0,USA,620885.7037402736,
South Carolina,US,2021-12-31 04:33:06,33.8569,-80.945,966259,14617,,,45.0,18766.99696273672,10602027.0,,1.5127414078419967,84000045.0,USA,205916.02097145034,
South Dakota,US,2021-12-31 04:33:06,44.2998,-99.4388,179204,2486,,,46.0,20256.844727742555,1133759.0,,1.3872458204057945,84000046.0,USA,128157.74213567036,
Tennessee,US,2021-12-31 04:33:06,35.7478,-86.6923,1412302,20843,,,47.0,20680.84661483219,11163613.0,,1.4759288013928746,84000047.0,USA,163469.44740315597,
Texas,US,2021-12-31 04:33:06,31.0545,-97.5635,4607608,75744,,,48.0,15799.13712571796,38834900.0,,1.6534023822667885,84000048.0,USA,133932.47130514847,
Utah,US,2021-12-31 04:33:06,40.15,-111.8624,636992,3787,,,49.0,19869.00639372069,5037127.0,,0.5945129609163067,84000049.0,USA,157117.68525975698,
Vermont,US,2021-12-31 04:33:06,44.0459,-72.7107,64447,471,,,50.0,10328.22693989798,2832984.0,,0.7308330876534206,84000050.0,USA,454011.849567861,
Virgin Islands,US,2021-12-31 04:33:06,18.3358,-64.8963,9055,89,,,78.0,8441.473692061007,246657.0,,0.9828823854224186,850.0,VIR,229944.6246783757,
Virginia,US,2021-12-31 04:33:06,37.7693,-78.17,1100900,15565,,,51.0,12897.86830771509,11132438.0,,1.4138432191843038,84000051.0,USA,130424.85172840695,
Washington,US,2021-12-31 04:33:06,47.4009,-121.4905,849075,9853,,,53.0,11150.189503647654,9958651.0,,1.1604393015929098,84000053.0,USA,130778.60713210286,
West Virginia,US,2021-12-31 04:33:06,38.4912,-80.9545,328162,5336,,,54.0,18311.10952393972,4919310.0,,1.6260261700014018,84000054.0,USA,274492.54999729374,
Wisconsin,US,2021-12-31 04:33:06,44.2685,-89.6165,1112655,11151,,,55.0,19109.791540788607,13255586.0,,1.002197446647883,84000055.0,USA,227663.99756527945,
Wyoming,US,2021-12-31 04:33:06,42.756,-107.3025,115638,1526,,,56.0,19980.337238816155,1199877.0,,1.319635413964268,84000056.0,USA,207318.93586104055,
