Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-02-16 04:30:54,32.3182,-86.9023,1265932,17656,,,1.0,25818.564871608964,7151795.0,,1.3947036649677866,84000001.0,USA,145860.19087593065,
Alaska,US,2022-02-16 04:30:54,61.3707,-152.4044,233961,1114,,,2.0,31981.764621451857,3741734.0,,0.4761477340240468,84000002.0,USA,511483.7774846387,
American Samoa,US,2022-02-16 04:30:54,-14.270999999999999,-170.132,18,0,,,60.0,32.35024532269369,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-02-16 04:30:54,33.7298,-111.4312,1953168,27181,,,4.0,26833.959886062334,17991053.0,,1.391636561729457,84000004.0,USA,247173.4098193404,
Arkansas,US,2022-02-16 04:30:54,34.9697,-92.3731,809396,10141,,,5.0,26820.694783359024,4904167.0,,1.2529095770179244,84000005.0,USA,162507.80368771465,
California,US,2022-02-16 04:30:54,36.1162,-119.6816,8849582,83077,,,6.0,22397.48697510641,143191486.0,,0.9387502125767464,84000006.0,USA,362397.9496167553,
Colorado,US,2022-02-16 04:30:54,39.0598,-105.3111,1295177,11650,,,8.0,22490.647253147217,16351359.0,,0.8994909576065665,84000008.0,USA,283940.06948747084,
Connecticut,US,2022-02-16 04:30:54,41.5978,-72.7554,715692,10320,,,9.0,20073.895874301284,13022250.0,,1.4419610670511895,84000009.0,USA,365251.10040229576,
Delaware,US,2022-02-16 04:30:54,39.3185,-75.5071,253881,2645,,,10.0,26072.128359643608,3078492.0,,1.0418266825796338,84000010.0,USA,316143.54196704744,
Diamond Princess,US,2022-02-16 04:30:54,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-02-16 04:30:54,38.8974,-77.0268,133339,1309,,,11.0,18893.260918541862,2999345.0,,0.9817082773982104,84000011.0,USA,424987.49555436854,
Florida,US,2022-02-16 04:30:54,27.7663,-81.6868,5776333,67911,,,12.0,26894.514072874623,53278242.0,,1.1756766793050193,84000012.0,USA,248062.64272627977,
Georgia,US,2022-02-16 04:30:54,33.0406,-83.6431,2443410,34335,,,13.0,23013.211397907,16368340.0,,1.4052082949648237,84000013.0,USA,154164.90423335304,
Grand Princess,US,2022-02-16 04:30:54,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-02-16 04:30:54,13.4443,144.7937,40891,308,,,66.0,24898.76940126287,347358.0,,0.7532219803868822,316.0,GUM,211508.3206985368,
Hawaii,US,2022-02-16 04:30:54,21.0943,-157.4983,232302,1262,,,15.0,16406.991592460334,3514100.0,,0.5432583447408976,84000015.0,USA,248193.33951091624,
Idaho,US,2022-02-16 04:30:54,44.2405,-114.4788,406806,4615,,,16.0,22763.91737289914,1181927.0,,1.1344473778656166,84000016.0,USA,66137.8853035564,
Illinois,US,2022-02-16 04:30:54,40.3495,-88.9861,3004664,34505,,,17.0,23711.382918051007,53083826.0,,1.1483813165132608,84000017.0,USA,418912.37257849524,
Indiana,US,2022-02-16 04:30:54,39.8494,-86.2583,1669872,22251,,,18.0,24804.1841776092,18677705.0,,1.3324973411135703,84000018.0,USA,277437.57296071324,
Iowa,US,2022-02-16 04:30:54,42.0115,-93.2105,741648,8829,,,19.0,23506.546605939013,1921825.0,,1.1904569283541515,84000019.0,USA,60912.27769906849,
Kansas,US,2022-02-16 04:30:54,38.5266,-96.7265,758924,7852,,,20.0,26050.195756447807,2221193.0,,1.0346227026685149,84000020.0,USA,76242.8286137368,
Kentucky,US,2022-02-16 04:30:54,37.6681,-84.6701,1244139,13450,,,21.0,27847.584189800826,9360616.0,,1.081068915933027,84000021.0,USA,209518.82557205952,
