Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-01-01 05:30:27,32.3182,-86.9023,361226,4827,202137.0,154262.0,1.0,7367.170522833628,3262035.0,,1.3362825488752195,84000001.0,USA,66528.89907274557,
Alaska,US,2021-01-01 05:30:27,61.3707,-152.4044,47014,206,7165.0,39643.0,2.0,6426.672316808946,1275750.0,,0.4381673544050708,84000002.0,USA,174391.1857780451,
American Samoa,US,2021-01-01 05:30:27,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-01-01 05:30:27,33.7298,-111.4312,520207,8864,75981.0,435362.0,4.0,7146.960102996173,5059770.0,,1.7039370865828412,84000004.0,USA,38945.76475496987,
Arkansas,US,2021-01-01 05:30:27,34.9697,-92.3731,225138,3676,199247.0,22215.0,5.0,7460.325455198548,2051488.0,,1.6327763416215832,84000005.0,USA,67979.49767446793,
California,US,2021-01-01 05:30:27,36.1162,-119.6816,2385438,25763,,,6.0,6041.4950583772525,32855482.0,,1.0792462409865575,84000006.0,USA,83152.70441756719,
Colorado,US,2021-01-01 05:30:27,39.0598,-105.3111,334097,4814,17971.0,311312.0,8.0,5801.568260812789,4406667.0,,1.4408989006186825,84000008.0,USA,76521.42761883857,
Connecticut,US,2021-01-01 05:30:27,41.5978,-72.7554,185708,5995,9800.0,169913.0,9.0,5208.781228551867,4320693.0,,3.2281861847631768,84000009.0,USA,121187.80339422885,
Delaware,US,2021-01-01 05:30:27,39.3185,-75.5071,57456,1061,18851.0,37544.0,10.0,5900.402972383452,978204.0,,1.8466304650515177,84000010.0,USA,100455.9626357105,
Diamond Princess,US,2021-01-01 05:30:27,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-01-01 05:30:27,38.8974,-77.0268,28983,786,20770.0,7427.0,11.0,4106.700824230711,897439.0,,2.7119345823413727,84000011.0,USA,127161.21453944675,
Florida,US,2021-01-01 05:30:27,27.7663,-81.6868,1323315,21673,,,12.0,6161.333477544678,17332151.0,,1.6377808760574768,84000012.0,USA,80698.21788021708,
Georgia,US,2021-01-01 05:30:27,33.0406,-83.6431,666452,10934,,,13.0,6276.965700622458,5349390.0,,1.6406282823069027,84000013.0,USA,50383.12969163986,
Grand Princess,US,2021-01-01 05:30:27,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-01-01 05:30:27,13.4443,144.7937,7308,121,7047.0,140.0,66.0,4449.884003434229,96192.0,,1.655719759168035,316.0,GUM,58571.87220283872,
Hawaii,US,2021-01-01 05:30:27,21.0943,-157.4983,22007,288,11958.0,9761.0,15.0,1554.307169009628,812338.0,,1.3086745126550643,84000015.0,USA,57373.689147041536,
Idaho,US,2021-01-01 05:30:27,44.2405,-114.4788,141077,1436,57770.0,81871.0,16.0,7894.340720678879,543268.0,,1.0178838506631132,84000016.0,USA,30400.01342984167,
Illinois,US,2021-01-01 05:30:27,40.3495,-88.9861,963389,17978,,,17.0,7602.6089699341555,13277443.0,,1.8661205390553557,84000017.0,USA,104779.28152552027,
Indiana,US,2021-01-01 05:30:27,39.8494,-86.2583,511485,9390,342578.0,159517.0,18.0,7597.5692412858225,5681710.0,,1.8358309627848324,84000018.0,USA,84395.79877006378,
Iowa,US,2021-01-01 05:30:27,42.0115,-93.2105,281712,3891,238982.0,38839.0,19.0,8928.866871416481,1171219.0,,1.3811978190492418,84000019.0,USA,37121.80712313832,
Kansas,US,2021-01-01 05:30:27,38.5266,-96.7265,225212,2755,4517.0,217940.0,20.0,7730.440316423153,1001232.0,,1.2232918316963572,84000020.0,USA,34367.45918908844,
Kentucky,US,2021-01-01 05:30:27,37.6681,-84.6701,265261,2623,36740.0,225898.0,21.0,5937.341430315066,3148606.0,,0.9888374091932097,84000021.0,USA,70475.30112432133,
Louisiana,US,2021-01-01 05:30:27,31.1695,-91.8678,315275,7488,263712.0,44075.0,22.0,6781.866436757577,4214182.0,,2.3750693838712236,84000022.0,USA,90651.08068888405,
Maine,US,2021-01-01 05:30:27,44.6939,-69.3819,24201,347,11374.0,12480.0,23.0,1800.3856534534732,1111413.0,,1.4338250485517128,84000023.0,USA,82681.37763983657,
Maryland,US,2021-01-01 05:30:27,39.0639,-76.8021,276662,5895,9355.0,261412.0,24.0,4576.19324873298,5708030.0,,2.1307588320766855,84000024.0,USA,94415.02031202446,
Massachusetts,US,2021-01-01 05:30:27,42.2302,-71.5301,375178,12423,261672.0,101083.0,25.0,5443.276557152025,10944699.0,,3.3112282703143574,84000025.0,USA,158791.3563476142,
Michigan,US,2021-01-01 05:30:27,43.3266,-84.5361,528621,13018,318389.0,197214.0,26.0,5293.166809137249,8113075.0,,2.4626339097387353,84000026.0,USA,81237.52047315787,
Minnesota,US,2021-01-01 05:30:27,45.6945,-93.9002,415302,5382,397080.0,12840.0,27.0,7363.9911256621,5351379.0,,1.2959244116329804,84000027.0,USA,94888.79770878667,
Mississippi,US,2021-01-01 05:30:27,32.7416,-89.6787,215811,4787,167263.0,43761.0,28.0,7251.350654822726,1343469.0,,2.218144580211389,84000028.0,USA,45141.18748758882,
Missouri,US,2021-01-01 05:30:27,38.4561,-92.2884,440756,5724,,,29.0,7181.4447354820295,3638238.0,,1.2986777264518237,84000029.0,USA,59279.522301524354,
Montana,US,2021-01-01 05:30:27,46.9219,-110.4544,81555,961,74991.0,5603.0,30.0,7630.677278162537,791589.0,,1.178345901538839,84000030.0,USA,74064.86660466438,
Nebraska,US,2021-01-01 05:30:27,41.1254,-98.2681,166798,1651,105574.0,59573.0,31.0,8622.689732465953,1743719.0,,0.9898200218228036,84000031.0,USA,90142.255408373,
Nevada,US,2021-01-01 05:30:27,38.3135,-117.0554,224731,3122,,,32.0,7296.091496664455,2081954.0,,1.3892164409894496,84000032.0,USA,67592.48557540592,
New Hampshire,US,2021-01-01 05:30:27,43.4525,-71.5639,44882,759,37350.0,6773.0,33.0,3300.848489127469,1032929.0,,1.691101109576222,84000033.0,USA,75966.80471070691,
New Jersey,US,2021-01-01 05:30:27,40.2989,-74.521,529027,19042,55670.0,454315.0,34.0,5956.042372432925,7735775.0,,3.5994382139285896,84000034.0,USA,87093.10429072111,
New Mexico,US,2021-01-01 05:30:27,34.8405,-106.2485,142864,2477,65533.0,74854.0,35.0,6813.335756039239,1970212.0,,1.733816776794714,84000035.0,USA,93961.5009139992,
New York,US,2021-01-01 05:30:27,42.1657,-74.9481,978783,37799,102129.0,838855.0,36.0,5031.382172138047,25285060.0,,3.8618365868634825,84000036.0,USA,129976.5117553542,
North Carolina,US,2021-01-01 05:30:27,35.6301,-79.8064,539545,6748,403488.0,129309.0,37.0,5144.361925400292,6944103.0,,1.2506834462371073,84000037.0,USA,66209.45255587198,
North Dakota,US,2021-01-01 05:30:27,47.5289,-99.784,92495,1299,89314.0,1882.0,38.0,12137.46388089158,1277930.0,,1.4044002378506946,84000038.0,USA,167693.70471169017,
Northern Mariana Islands,US,2021-01-01 05:30:27,15.0979,145.6739,122,2,29.0,91.0,69.0,221.23893805309734,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,
Ohio,US,2021-01-01 05:30:27,40.3888,-82.7649,700380,13621,556106.0,130653.0,39.0,5991.735890701594,7752314.0,,1.944801393529227,84000039.0,USA,66320.88013619526,
Oklahoma,US,2021-01-01 05:30:27,35.5653,-96.9289,291209,2489,255843.0,32877.0,40.0,7359.391817630202,2668245.0,,0.854712594734366,84000040.0,USA,67431.50253059728,
Oregon,US,2021-01-01 05:30:27,44.572,-122.0709,113909,1477,5870.0,106562.0,41.0,2700.713676552142,2652670.0,,1.2966490795283954,84000041.0,USA,62893.20552703974,
Pennsylvania,US,2021-01-01 05:30:27,40.5908,-77.2098,648574,16030,429017.0,203527.0,42.0,5066.197135460748,7554677.0,,2.4715761038832884,84000042.0,USA,30506.618932417456,
Puerto Rico,US,2021-01-01 05:30:27,18.2208,-66.5901,76291,1503,66113.0,8675.0,72.0,2388.8011813279545,1383067.0,,1.970088214861517,630.0,PRI,43306.18399884272,
Rhode Island,US,2021-01-01 05:30:27,41.6809,-71.5118,87949,1930,5381.0,80638.0,44.0,8302.080216281325,1974498.0,,2.1944536037931073,84000044.0,USA,186385.75518638126,
South Carolina,US,2021-01-01 05:30:27,33.8569,-80.945,307507,5296,151084.0,151127.0,45.0,5972.501094448051,3173021.0,,1.7222372173641576,84000045.0,USA,61627.44716447641,
South Dakota,US,2021-01-01 05:30:27,44.2998,-99.4388,99164,1488,91980.0,5696.0,46.0,11209.290811487816,372640.0,,1.5005445524585534,84000046.0,USA,42122.444919454836,
Tennessee,US,2021-01-01 05:30:27,35.7478,-86.6923,586802,6907,508914.0,70981.0,47.0,8592.576496074049,5644058.0,,1.1770580195704854,84000047.0,USA,82646.27610894085,
Texas,US,2021-01-01 05:30:27,31.0545,-97.5635,1803482,28066,1423001.0,321717.0,48.0,6113.9166628529065,13742979.0,,1.5831595953032067,84000048.0,USA,47396.31466965946,
Utah,US,2021-01-01 05:30:27,40.15,-111.8624,276612,1269,224439.0,50904.0,49.0,8628.060629615235,2245303.0,,0.45876534640579586,84000049.0,USA,70035.32173534401,
Vermont,US,2021-01-01 05:30:27,44.0459,-72.7107,7412,136,4959.0,2317.0,50.0,1187.8414523332942,697705.0,,1.834862385321101,84000050.0,USA,111813.66979225595,
Virgin Islands,US,2021-01-01 05:30:27,18.3358,-64.8963,2031,23,1884.0,124.0,78.0,1893.3885222060633,36170.0,,1.1324470704086658,850.0,VIR,33719.28254465451,
Virginia,US,2021-01-01 05:30:27,37.7693,-78.17,349584,5032,30707.0,313845.0,51.0,4095.63847259903,4255991.0,,1.439425145315575,84000051.0,USA,49862.12320539618,
Washington,US,2021-01-01 05:30:27,47.4009,-121.4905,246752,3461,,,53.0,3240.3869627583736,3805390.0,,1.402622876410323,84000053.0,USA,49972.99371113948,
West Virginia,US,2021-01-01 05:30:27,38.4912,-80.9545,85334,1338,59508.0,24488.0,54.0,4761.551368275035,1514520.0,,1.567956500339841,84000054.0,USA,84508.69264630637,
Wisconsin,US,2021-01-01 05:30:27,44.2685,-89.6165,520438,5242,447500.0,67696.0,55.0,8938.495481442984,5348488.0,,1.0072285267409375,84000055.0,USA,91860.00219152334,
Wyoming,US,2021-01-01 05:30:27,42.756,-107.3025,44409,438,42570.0,1401.0,56.0,7673.142015934093,501784.0,,0.9862865635344187,84000056.0,USA,86699.99084247503,
