Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-09-01 04:30:44,32.3182,-86.9023,699729,12283,,,1.0,14270.907583540087,5409255.0,,1.7553938739140438,84000001.0,USA,110321.25037093236,
Alaska,US,2021-09-01 04:30:44,61.3707,-152.4044,88547,444,,,2.0,12104.108428052956,2726687.0,,0.5014286198290173,84000002.0,USA,372729.90725109185,
American Samoa,US,2021-09-01 04:30:44,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-09-01 04:30:44,33.7298,-111.4312,1011923,18786,,,4.0,13902.491331920171,11744877.0,,1.8564653634713313,84000004.0,USA,161359.16535840038,
Arkansas,US,2021-09-01 04:30:44,34.9697,-92.3731,452891,6934,,,5.0,15007.303323873915,3621949.0,,1.5310527257110431,84000005.0,USA,120019.35844740082,
California,US,2021-09-01 04:30:44,36.1162,-119.6816,4469445,65490,,,6.0,11322.643122357353,81846453.0,,1.463847067880124,84000006.0,USA,207142.11144232508,
Colorado,US,2021-09-01 04:30:44,39.0598,-105.3111,615878,7142,,,8.0,10694.673275524352,10116966.0,,1.1596452544172708,84000008.0,USA,175680.32290419287,
Connecticut,US,2021-09-01 04:30:44,41.5978,-72.7554,373072,8358,,,9.0,10464.010330725128,9488294.0,,2.240318222755929,84000009.0,USA,266129.8795861315,
Delaware,US,2021-09-01 04:30:44,39.3185,-75.5071,119852,1880,,,10.0,12308.115724138497,2060348.0,,1.568601274905717,84000010.0,USA,211585.96949568886,
Diamond Princess,US,2021-09-01 04:30:44,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-09-01 04:30:44,38.8974,-77.0268,55431,1160,,,11.0,7854.208790944089,1851802.0,,2.0926918150493408,84000011.0,USA,262388.18616817024,
Florida,US,2021-09-01 04:30:44,27.7663,-81.6868,3250454,44561,,,12.0,15134.061842735107,37215966.0,,1.3709161858620365,84000012.0,USA,173276.9425382199,
Georgia,US,2021-09-01 04:30:44,33.0406,-83.6431,1403582,22740,,,13.0,13219.610822701516,10430479.0,,1.620140469171021,84000013.0,USA,98239.27143149519,
Grand Princess,US,2021-09-01 04:30:44,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-09-01 04:30:44,13.4443,144.7937,10559,149,,,66.0,6429.436944753971,200817.0,,1.411118477128516,316.0,GUM,122278.64749831027,
Hawaii,US,2021-09-01 04:30:44,21.0943,-157.4983,63502,589,,,15.0,4485.009944401754,2109721.0,,0.9275298415797928,84000015.0,USA,149005.06542964335,
Idaho,US,2021-09-01 04:30:44,44.2405,-114.4788,221389,2363,,,16.0,12388.413404101138,877721.0,,1.0673520364607094,84000016.0,USA,49115.22524362573,
Illinois,US,2021-09-01 04:30:44,40.3495,-88.9861,1522942,26386,,,17.0,12018.33580193407,28775581.0,,1.73256762240453,84000017.0,USA,227083.2345248564,
Indiana,US,2021-09-01 04:30:44,39.8494,-86.2583,858566,14491,,,18.0,12753.090771408357,12243743.0,,1.6878143322703205,84000018.0,USA,181867.86555814664,
