Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-12-21 03:32:27,32.3182,-86.9023,858396,16353,,,1.0,17506.90622523931,6438716.0,,1.9050647952693165,84000001.0,USA,131317.01128960054,
Alaska,US,2021-12-21 03:32:27,61.3707,-152.4044,155062,946,,,2.0,21196.50875885968,3633575.0,,0.6100785492254711,84000002.0,USA,496698.7676766296,
American Samoa,US,2021-12-21 03:32:27,-14.270999999999999,-170.132,10,0,,,60.0,17.97235851260761,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-12-21 03:32:27,33.7298,-111.4312,1338982,23519,,,4.0,18395.851906318105,15248882.0,,1.7564836569871738,84000004.0,USA,209499.5862595015,
Arkansas,US,2021-12-21 03:32:27,34.9697,-92.3731,544082,8982,,,5.0,18029.07014504587,4342586.0,,1.6508540991982823,84000005.0,USA,143898.87481095525,
California,US,2021-12-21 03:32:27,36.1162,-119.6816,5225529,75826,,,6.0,13226.75011223742,116285808.0,,1.4508868135692914,84000006.0,USA,294303.380500763,
Colorado,US,2021-12-21 03:32:27,39.0598,-105.3111,870432,9918,,,8.0,15114.98356583806,13680372.0,,1.1394342119775007,84000008.0,USA,237558.58924597345,
Connecticut,US,2021-12-21 03:32:27,41.5978,-72.7554,461775,9042,,,9.0,12951.972730386082,11330031.0,,1.9580964755562773,84000009.0,USA,317787.3478348307,
Delaware,US,2021-12-21 03:32:27,39.3185,-75.5071,166292,2242,,,10.0,17077.238427380762,2544385.0,,1.3482308228898563,84000010.0,USA,261293.8042482573,
Diamond Princess,US,2021-12-21 03:32:27,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-12-21 03:32:27,38.8974,-77.0268,71219,1206,,,11.0,10091.264741430736,2516716.0,,1.6933683427175332,84000011.0,USA,356602.13475329045,
Florida,US,2021-12-21 03:32:27,27.7663,-81.6868,3782883,62264,,,12.0,17613.042752129793,45211183.0,,1.6459404110568585,84000012.0,USA,210502.54503069853,
Georgia,US,2021-12-21 03:32:27,33.0406,-83.6431,1700763,31038,,,13.0,16018.604514485292,13538262.0,,1.824945627344904,84000013.0,USA,127509.86750739795,
Grand Princess,US,2021-12-21 03:32:27,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-12-21 03:32:27,13.4443,144.7937,19390,270,,,66.0,11806.684568498864,270317.0,,1.3924703455389376,316.0,GUM,164597.6045643583,
Hawaii,US,2021-12-21 03:32:27,21.0943,-157.4983,93586,1072,,,15.0,6609.778285042716,2888788.0,,1.1454704763533008,84000015.0,USA,204028.8952673688,
Idaho,US,2021-12-21 03:32:27,44.2405,-114.4788,314492,4068,,,16.0,17598.240690741524,1074093.0,,1.2935146204036987,84000016.0,USA,60103.745526883475,
Illinois,US,2021-12-21 03:32:27,40.3495,-88.9861,1975515,29661,,,17.0,15589.827223727356,42033355.0,,1.5014312723517664,84000017.0,USA,331707.297633071,
Indiana,US,2021-12-21 03:32:27,39.8494,-86.2583,1192448,18489,,,18.0,17712.555102559796,16152402.0,,1.5505078628166595,84000018.0,USA,239926.8651242629,
Iowa,US,2021-12-21 03:32:27,42.0115,-93.2105,557029,7680,,,19.0,17655.04410361735,1804739.0,,1.3787432970276234,84000019.0,USA,57201.23483789584,
Kansas,US,2021-12-21 03:32:27,38.5266,-96.7265,501226,6920,,,20.0,17204.66794859737,1974576.0,,1.3806147326754796,84000020.0,USA,67777.65802107152,
Kentucky,US,2021-12-21 03:32:27,37.6681,-84.6701,831003,11847,,,21.0,18600.35414409246,8040775.0,,1.4256266222865617,84000021.0,USA,179976.80224134578,
Louisiana,US,2021-12-21 03:32:27,31.1695,-91.8678,783604,14934,,,22.0,16856.07062821024,10583508.0,,1.9058095670772481,84000022.0,USA,227661.3676579345,
Maine,US,2021-12-21 03:32:27,44.6939,-69.3819,136401,1441,,,23.0,10147.283315429411,3264926.0,,1.05644386771358,84000023.0,USA,242887.72901893448,
Maryland,US,2021-12-21 03:32:27,39.0639,-76.8021,621220,11255,,,24.0,9803.347183443384,15198334.0,,1.8990043514280075,84000024.0,USA,251391.6383268714,
Massachusetts,US,2021-12-21 03:32:27,42.2302,-71.5301,1019682,19865,,,25.0,14794.074083101597,35121337.0,,1.9481563860105409,84000025.0,USA,509558.5304786954,
Michigan,US,2021-12-21 03:32:27,43.3266,-84.5361,1629362,27901,,,26.0,16315.062887152582,19591569.0,,1.7123880389993138,84000026.0,USA,196173.52085846427,
Minnesota,US,2021-12-21 03:32:27,45.6945,-93.9002,982664,10280,,,27.0,17424.257469281685,13551214.0,,1.0461358104092549,84000027.0,USA,240285.4299713173,
Mississippi,US,2021-12-21 03:32:27,32.7416,-89.6787,523889,10364,,,28.0,17602.91571423339,2727107.0,,1.9782816589010268,84000028.0,USA,91632.07218455797,
Missouri,US,2021-12-21 03:32:27,38.4561,-92.2884,968560,15871,,,29.0,15781.203461775845,8207514.0,,1.6386181547864869,84000029.0,USA,133728.88447734131,
Montana,US,2021-12-21 03:32:27,46.9219,-110.4544,194929,2878,,,30.0,18238.49293305064,2271402.0,,1.4764350096701877,84000030.0,USA,212523.2742440432,
Nebraska,US,2021-12-21 03:32:27,41.1254,-98.2681,327858,3298,,,31.0,16948.7512458592,4346674.0,,1.0059232960610995,84000031.0,USA,224703.0616085128,
Nevada,US,2021-12-21 03:32:27,38.3135,-117.0554,470600,8310,,,32.0,15278.446935804552,4956936.0,,1.7658308542286445,84000032.0,USA,160931.32945214462,
New Hampshire,US,2021-12-21 03:32:27,43.4525,-71.5639,186678,1843,,,33.0,13729.240993122805,3031099.0,,0.98726148769539,84000033.0,USA,222922.29745879825,
New Jersey,US,2021-12-21 03:32:27,40.2989,-74.521,1352812,28730,,,34.0,15230.613170850882,16496325.0,,2.123724508653087,84000034.0,USA,185723.62221479163,
New Mexico,US,2021-12-21 03:32:27,34.8405,-106.2485,339894,5614,,,35.0,16209.905528777024,5543846.0,,1.651691409674781,84000035.0,USA,264391.89843330096,
New York,US,2021-12-21 03:32:27,42.1657,-74.9481,2982994,58649,,,36.0,15333.922668451292,84984802.0,,1.9661118996551787,84000036.0,USA,436859.8736241658,
North Carolina,US,2021-12-21 03:32:27,35.6301,-79.8064,1599595,19167,,,37.0,15251.546421634304,18360326.0,,1.1982408047036903,84000037.0,USA,175058.91447856446,
North Dakota,US,2021-12-21 03:32:27,47.5289,-99.78399999999999,169545,2023,,,38.0,22248.189779834185,2012937.0,,1.1931935474357842,84000038.0,USA,264143.4686416591,
Northern Mariana Islands,US,2021-12-21 03:32:27,15.0979,145.6739,2321,6,,,69.0,4208.9801247642545,17542.0,,0.2585092632485997,580.0,MNP,31811.25779776585,
Ohio,US,2021-12-21 03:32:27,40.3888,-82.7649,1855222,30359,,,39.0,15871.384452181946,18858812.0,,1.510762593371575,84000039.0,USA,161336.73251148505,
Oklahoma,US,2021-12-21 03:32:27,35.5653,-96.9289,689236,12286,,,40.0,17418.272714154336,4795336.0,,1.7825534359783877,84000040.0,USA,121187.03927827625,
Oregon,US,2021-12-21 03:32:27,44.571999999999996,-122.0709,407153,5534,,,41.0,9653.352022660492,8411675.0,,1.359194209547762,84000041.0,USA,199435.74006629625,
Pennsylvania,US,2021-12-21 03:32:27,40.5908,-77.2098,1894514,35418,,,42.0,14798.59106268565,20860493.0,,1.8695032076828144,84000042.0,USA,162947.28108265053,
Puerto Rico,US,2021-12-21 03:32:27,18.2208,-66.5901,198735,3286,,,72.0,6222.731420104744,3211162.0,,1.6534581226256069,630.0,PRI,100546.95283893825,
Rhode Island,US,2021-12-21 03:32:27,41.6809,-71.5118,212715,2998,,,44.0,20079.557393560834,6234464.0,,1.4093975507133958,84000044.0,USA,588511.7537836488,
South Carolina,US,2021-12-21 03:32:27,33.8569,-80.945,940135,14498,,,45.0,18259.608127388703,10376168.0,,1.542118951001718,84000045.0,USA,201529.31392188426,
South Dakota,US,2021-12-21 03:32:27,44.2998,-99.4388,174021,2438,,,46.0,19670.969266124008,1107283.0,,1.4009803414530428,84000046.0,USA,125164.95056287224,
Tennessee,US,2021-12-21 03:32:27,35.7478,-86.6923,1354367,18045,,,47.0,19832.076324310965,10972267.0,,1.3323567393476066,84000047.0,USA,160667.55657419187,
Texas,US,2021-12-21 03:32:27,31.0545,-97.5635,4470968,75099,,,48.0,15320.810566162827,38125113.0,,1.6905036102074462,84000048.0,USA,131484.58224118108,
Utah,US,2021-12-21 03:32:27,40.15,-111.8624,620197,3717,,,49.0,19345.13802114688,4932731.0,,0.5993256981249506,84000049.0,USA,153861.37310594835,
Vermont,US,2021-12-21 03:32:27,44.0459,-72.7107,58935,455,,,50.0,9444.878034708943,2761277.0,,0.7720369899041317,84000050.0,USA,442520.14057940117,
Virgin Islands,US,2021-12-21 03:32:27,18.3358,-64.8963,7681,88,,,78.0,7160.569787821159,235508.0,,1.1456841557088921,850.0,VIR,219551.0310623858,
Virginia,US,2021-12-21 03:32:27,37.7693,-78.17,1023698,15136,,,51.0,11993.389037034538,10849554.0,,1.4785610600001171,84000051.0,USA,127110.65372826188,
Washington,US,2021-12-21 03:32:27,47.4009,-121.4905,805831,9695,,,53.0,10582.302338325699,9958651.0,,1.203105862147274,84000053.0,USA,130778.60713210286,
West Virginia,US,2021-12-21 03:32:27,38.4912,-80.9545,315571,5191,,,54.0,17608.544388378854,4819309.0,,1.644954701160753,84000054.0,USA,268912.59478156647,
