Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-12-27 04:33:37,32.3182,-86.9023,868948,16418,,,1.0,17722.113279429595,6492669.0,,1.8894111040016204,84000001.0,USA,132417.37768409715,
Alaska,US,2021-12-27 04:33:37,61.3707,-152.4044,155294,976,,,2.0,21228.222460682533,3655507.0,,0.6284853246100944,84000002.0,USA,499696.8060748143,
American Samoa,US,2021-12-27 04:33:37,-14.270999999999999,-170.132,10,0,,,60.0,17.97235851260761,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2021-12-27 04:33:37,33.7298,-111.4312,1355052,23982,,,4.0,18616.632574119863,15371087.0,,1.7698213795485342,84000004.0,USA,211178.52225879926,
Arkansas,US,2021-12-27 04:33:37,34.9697,-92.3731,550413,9066,,,5.0,18238.85845469089,4378464.0,,1.6471267938802316,84000005.0,USA,145087.75255119285,
California,US,2021-12-27 04:33:37,36.1162,-119.6816,5309816,76139,,,6.0,13440.645948976346,118468767.0,,1.4336910138742591,84000006.0,USA,299828.1493805094,
Colorado,US,2021-12-27 04:33:37,39.0598,-105.3111,886250,10074,,,8.0,15389.661898027625,13918999.0,,1.1366995768688293,84000008.0,USA,241702.3284276272,
Connecticut,US,2021-12-27 04:33:37,41.5978,-72.7554,474557,9077,,,9.0,13310.485242843002,11737017.0,,1.9127312419793616,84000009.0,USA,329202.58593487705,
Delaware,US,2021-12-27 04:33:37,39.3185,-75.5071,172827,2271,,,10.0,17748.345595031242,2550391.0,,1.31403079379958,84000010.0,USA,261910.58613791433,
Diamond Princess,US,2021-12-27 04:33:37,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-12-27 04:33:37,38.8974,-77.0268,79565,1207,,,11.0,11273.838149257028,2582286.0,,1.5169986803242632,84000011.0,USA,365892.97328086896,
Florida,US,2021-12-27 04:33:37,27.7663,-81.6868,3907748,62347,,,12.0,18194.412195288543,45847671.0,,1.595471355880676,84000012.0,USA,213466.02297998162,
Georgia,US,2021-12-27 04:33:37,33.0406,-83.6431,1733600,31209,,,13.0,16327.879184996209,13779655.0,,1.8002422704199357,84000013.0,USA,129783.42296431064,
Grand Princess,US,2021-12-27 04:33:37,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-12-27 04:33:37,13.4443,144.7937,19432,270,,,66.0,11832.258614495613,272961.0,,1.3894606834088101,316.0,GUM,166207.55165043933,
Hawaii,US,2021-12-27 04:33:37,21.0943,-157.4983,100184,1082,,,15.0,7075.780861546807,2952294.0,,1.0800127764912562,84000015.0,USA,208514.18772318398,
Idaho,US,2021-12-27 04:33:37,44.2405,-114.4788,315726,4099,,,16.0,17667.29245998327,1079841.0,,1.2982776204683808,84000016.0,USA,60425.39023482638,
Illinois,US,2021-12-27 04:33:37,40.3495,-88.9861,2021302,29868,,,17.0,15951.156507024523,43209451.0,,1.477661428128998,84000017.0,USA,340988.48934182385,
Indiana,US,2021-12-27 04:33:37,39.8494,-86.2583,1200926,18696,,,18.0,17838.486834727155,16337499.0,,1.5567986703593726,84000018.0,USA,242676.28548625647,
Iowa,US,2021-12-27 04:33:37,42.0115,-93.2105,563955,7799,,,19.0,17874.5637973167,1816219.0,,1.3829117571437437,84000019.0,USA,57565.09364293028,
