Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-01-04 04:33:16,32.3182,-86.9023,913603,16455,,,1.0,18632.84783258229,6576775.0,,1.8011105480170269,84000001.0,USA,134132.7116965809,
Alaska,US,2022-01-04 04:33:16,61.3707,-152.4044,160089,979,,,2.0,21883.684530685056,3685702.0,,0.6115348337487273,84000002.0,USA,503824.3717064569,
American Samoa,US,2022-01-04 04:33:16,-14.270999999999999,-170.132,10,0,,,60.0,17.97235851260761,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-01-04 04:33:16,33.7298,-111.4312,1404601,24355,,,4.0,19297.37067672778,15718265.0,,1.733944372814771,84000004.0,USA,215948.2914365265,
Arkansas,US,2022-01-04 04:33:16,34.9697,-92.3731,574572,9221,,,5.0,19039.40746317521,4449119.0,,1.6048467380937463,84000005.0,USA,147429.02454897668,
California,US,2022-01-04 07:33:00,36.1162,-119.6816,5707773,76540,,,6.0,14180.928266172217,120326595.0,,1.3660051399200457,84000006.0,USA,304530.0564334232,
Colorado,US,2022-01-04 04:33:16,39.0598,-105.3111,954499,10293,,,8.0,16574.800442319287,14205459.0,,1.0783667662302423,84000008.0,USA,246676.6839111916,
Connecticut,US,2022-01-04 04:33:16,41.5978,-72.7554,533866,9210,,,9.0,14973.99788572421,11944654.0,,1.72515200443557,84000009.0,USA,335026.4368618852,
Delaware,US,2022-01-04 04:33:16,39.3185,-75.5071,189382,2286,,,10.0,19448.44952165001,2757728.0,,1.2070840945813224,84000010.0,USA,283202.91158843413,
Diamond Princess,US,2022-01-04 04:33:16,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-01-04 04:33:16,38.8974,-77.0268,103487,1218,,,11.0,14663.42849936734,2665457.0,,1.176959424855296,84000011.0,USA,377677.7579564406,
Florida,US,2022-01-04 04:33:16,27.7663,-81.6868,4209927,62504,,,12.0,19601.352786841555,46969859.0,,1.4846813258282152,84000012.0,USA,218690.91236194948,
Georgia,US,2022-01-04 04:33:16,33.0406,-83.6431,1839879,31443,,,13.0,17328.865959282208,14077689.0,,1.708971079076396,84000013.0,USA,132590.45062064493,
Grand Princess,US,2022-01-04 04:33:16,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-01-04 04:33:16,13.4443,144.7937,19689,273,,,66.0,11988.74741976143,275347.0,,1.3865610239219872,316.0,GUM,167660.40102539747,
Hawaii,US,2022-01-04 04:33:16,21.0943,-157.4983,121864,1094,,,15.0,8606.992722505991,3059516.0,,0.8977220508107399,84000015.0,USA,216087.0474167156,
Idaho,US,2022-01-04 04:33:16,44.2405,-114.4788,320802,4169,,,16.0,17951.333611256447,1088283.0,,1.2995554890555543,84000016.0,USA,60897.78491548992,
Illinois,US,2022-01-04 04:33:16,40.3495,-88.9861,2238743,30431,,,17.0,17667.097728100798,44469630.0,,1.3592895656178492,84000017.0,USA,350933.2241987951,
Indiana,US,2022-01-04 04:33:16,39.8494,-86.2583,1278285,19084,,,18.0,18987.573042409946,16649638.0,,1.492937803385004,84000018.0,USA,247312.78052600488,
Iowa,US,2022-01-04 04:33:16,42.0115,-93.2105,575501,7858,,,19.0,18240.514473529907,1828357.0,,1.3654190001407471,84000019.0,USA,57949.80776971668,
Kansas,US,2022-01-04 04:33:16,38.5266,-96.7265,535014,7049,,,20.0,18364.44681211844,2011163.0,,1.3175356158904252,84000020.0,USA,69033.51303704304,
Kentucky,US,2022-01-04 04:33:16,37.6681,-84.6701,879057,12234,,,21.0,19675.94763537976,8234520.0,,1.391718625754644,84000021.0,USA,184313.3998392452,
Louisiana,US,2022-01-04 04:33:16,31.1695,-91.8678,859856,15001,,,22.0,18496.323992846315,10841771.0,,1.7445944437208092,84000022.0,USA,233216.8515103057,
Maine,US,2022-01-04 04:33:16,44.6939,-69.3819,146736,1531,,,23.0,10916.135252475056,3426009.0,,1.0433704067168248,84000023.0,USA,254871.1810339441,
Maryland,US,2022-01-04 04:33:16,39.0639,-76.8021,751450,11896,,,24.0,12429.536462399597,16367157.0,,1.5830727260629451,84000024.0,USA,270724.8316153022,
Massachusetts,US,2022-01-04 04:33:16,42.2302,-71.5301,1173704,20315,,,25.0,17028.704956675392,36269164.0,,1.7308452557033118,84000025.0,USA,526211.7985295039,
Michigan,US,2022-01-04 04:33:16,43.3266,-84.5361,1775882,29343,,,26.0,17782.191133807162,20075658.0,,1.6523057275201842,84000026.0,USA,201020.78161327433,
Minnesota,US,2022-01-04 04:33:16,45.6945,-93.9002,1028986,10704,,,27.0,18245.623118671574,13907415.0,,1.0402473891773063,84000027.0,USA,246601.4626486267,
Mississippi,US,2022-01-04 04:33:16,32.7416,-89.6787,561262,10455,,,28.0,18858.666014369574,2798800.0,,1.862766408557857,84000028.0,USA,94040.99055524438,
Missouri,US,2022-01-04 04:33:16,38.4561,-92.2884,1021433,16237,,,29.0,16642.688109742387,8404783.0,,1.5894336681896903,84000029.0,USA,136943.08104306884,
Montana,US,2022-01-04 04:33:16,46.9219,-110.4544,198520,2908,,,30.0,18574.484130474244,2315881.0,,1.464839814628249,84000030.0,USA,216684.94299096728,
Nebraska,US,2022-01-04 04:33:16,41.1254,-98.2681,344392,3338,,,31.0,17803.48302943329,4461389.0,,0.9692443494622408,84000031.0,USA,230633.29969685816,
Nevada,US,2022-01-04 04:33:16,38.3135,-117.0554,497084,8427,,,32.0,16138.273516016721,5065309.0,,1.6952869132782389,84000032.0,USA,164449.75514227198,
New Hampshire,US,2022-01-04 04:33:16,43.4525,-71.5639,203749,1973,,,33.0,14984.728372426202,3129716.0,,0.9683483109119554,84000033.0,USA,230175.08867693212,
New Jersey,US,2022-01-04 04:33:16,40.2989,-74.521,1644839,29073,,,34.0,18518.394675187086,16756758.0,,1.7675286152626488,84000034.0,USA,188655.7031542897,
New Mexico,US,2022-01-04 04:33:16,34.8405,-106.2485,357480,5866,,,35.0,17048.600529656924,5679946.0,,1.6409309611726532,84000035.0,USA,270882.65185191546,
