Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-23 04:31:10,32.3182,-86.9023,663065,12000,,,1.0,13523.14872883646,5262089.0,,1.8097773219820077,84000001.0,USA,107319.81354976408,
Alaska,US,2021-08-23 04:31:10,61.3707,-152.4044,83156,414,,,2.0,11367.17495164344,2639272.0,,0.4978594448987445,84000002.0,USA,360780.5398164159,
American Samoa,US,2021-08-23 04:31:10,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-23 04:31:10,33.7298,-111.4312,986082,18600,,,4.0,13547.469973073552,11345145.0,,1.8862528674085928,84000004.0,USA,155867.37332966784,
Arkansas,US,2021-08-23 04:31:10,34.9697,-92.3731,435256,6674,,,5.0,14422.938003926034,3531469.0,,1.533350487988678,84000005.0,USA,117021.15180442465,
California,US,2021-08-23 04:31:10,36.1162,-119.6816,4335246,64749,,,6.0,10982.135831739966,78797566.0,,1.4921579264422764,84000006.0,USA,199425.79793599565,
Colorado,US,2021-08-23 04:31:10,39.0598,-105.3111,598940,7067,,,8.0,10400.546230978465,9882761.0,,1.1799178548769493,84000008.0,USA,171613.37140650308,
Connecticut,US,2021-08-23 04:31:10,41.5978,-72.7554,365856,8337,,,9.0,10261.61428238456,9345106.0,,2.278765415901338,84000009.0,USA,262113.70921892129,
Delaware,US,2021-08-23 04:31:10,39.3185,-75.5071,116771,1854,,,10.0,11991.714624898847,2019627.0,,1.5877229791643472,84000010.0,USA,207404.15542164215,
Diamond Princess,US,2021-08-23 04:31:10,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
