Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-30 04:30:57,32.3182,-86.9023,691451,12222,,,1.0,14102.078546903696,5375889.0,,1.7675872910734094,84000001.0,USA,109640.75391811649,
Alaska,US,2021-08-30 04:30:57,61.3707,-152.4044,86753,438,,,2.0,11858.874026888298,2701808.0,,0.5048816755616521,84000002.0,USA,369329.0228215626,
American Samoa,US,2021-08-30 04:30:57,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-30 04:30:57,33.7298,-111.4312,1007854,18787,,,4.0,13846.588622692709,11673336.0,,1.8640596753101144,84000004.0,USA,160376.28609547534,
Arkansas,US,2021-08-30 04:30:57,34.9697,-92.3731,449383,6879,,,5.0,14891.059856770022,3607176.0,,1.5307655162745364,84000005.0,USA,119529.83030044365,
California,US,2021-08-30 04:30:57,36.1162,-119.6816,4432353,65332,,,6.0,11228.58108995791,81077636.0,,1.472548506061539,84000006.0,USA,205196.34139542087,
Colorado,US,2021-08-30 04:30:57,39.0598,-105.3111,610127,7111,,,8.0,10594.807610558984,10067407.0,,1.1654950526693624,84000008.0,USA,174819.73474734733,
Connecticut,US,2021-08-30 04:30:57,41.5978,-72.7554,370708,8358,,,9.0,10397.704308236616,9451569.0,,2.2546047023533347,84000009.0,USA,265099.8082342319,
Delaware,US,2021-08-30 04:30:57,39.3185,-75.5071,119226,1877,,,10.0,12243.82910027481,2047388.0,,1.5743210373576233,84000010.0,USA,210255.05153199332,
Diamond Princess,US,2021-08-30 04:30:57,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-30 04:30:57,38.8974,-77.0268,54556,1159,,,11.0,7730.227035390769,1843464.0,,2.1244226116284186,84000011.0,USA,261206.74630782328,
Florida,US,2021-08-30 04:30:57,27.7663,-81.6868,3223249,43979,,,12.0,15007.395797797506,36911155.0,,1.3644307343304845,84000012.0,USA,171857.74739675786,
Georgia,US,2021-08-30 04:30:57,33.0406,-83.6431,1369926,22553,,,13.0,12902.622416004335,10309938.0,,1.646293303433908,84000013.0,USA,97103.95827688133,
Grand Princess,US,2021-08-30 04:30:57,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-08-30 04:30:57,13.4443,144.7937,10239,145,,,66.0,6234.587070493031,196595.0,,1.4161539212813752,316.0,GUM,119707.84696978,
Hawaii,US,2021-08-30 04:30:57,21.0943,-157.4983,62229,589,,,15.0,4395.1006870677575,2076564.0,,0.9465040415240483,84000015.0,USA,146663.2576956109,
Idaho,US,2021-08-30 04:30:57,44.2405,-114.4788,217887,2327,,,16.0,12192.449631099036,872285.0,,1.067984781102131,84000016.0,USA,48811.0393298509,
Illinois,US,2021-08-30 04:30:57,40.3495,-88.9861,1508005,26322,,,17.0,11900.460083834832,28568305.0,,1.7454849287634988,84000017.0,USA,225447.5106616484,
Indiana,US,2021-08-30 04:30:57,39.8494,-86.2583,843700,14373,,,18.0,12532.272048785104,12121074.0,,1.703567618821856,84000018.0,USA,180045.74717489138,
Iowa,US,2021-08-30 04:30:57,42.0115,-93.2105,402725,6268,,,19.0,12764.376067725914,1567512.0,,1.5563970451300515,84000019.0,USA,49682.32083598778,
Kansas,US,2021-08-30 04:30:57,38.5266,-96.7265,366746,5550,,,20.0,12588.619009142167,1600222.0,,1.513308938611464,84000020.0,USA,54927.89311416484,
Kentucky,US,2021-08-30 04:30:57,37.6681,-84.6701,569903,7716,,,21.0,12593.200084249675,6128689.0,,1.3659235402747487,84000021.0,USA,137178.54910151212,
Louisiana,US,2021-08-30 04:30:57,31.1695,-91.8678,679796,12359,,,22.0,14623.061378929675,8466880.0,,1.8180454136240873,84000022.0,USA,182130.6773326588,
Maine,US,2021-08-30 04:30:57,44.6939,-69.3819,75381,930,,,23.0,5607.820790172978,2528693.0,,1.2337326381979543,84000023.0,USA,188117.127357887,
Maryland,US,2021-08-30 04:30:57,39.0639,-76.8021,494982,9995,,,24.0,8187.366847070966,11939694.0,,2.01926534702272,84000024.0,USA,197491.3326540604,
Massachusetts,US,2021-08-30 04:30:57,42.2302,-71.5301,753795,18219,,,25.0,10936.447905789813,25925775.0,,2.4169701311364498,84000025.0,USA,376144.55880541506,
Michigan,US,2021-08-30 04:30:57,43.3266,-84.5361,1054709,21520,,,26.0,10560.970283243267,15179724.0,,2.0403732214288492,84000026.0,USA,151997.00966980902,
Minnesota,US,2021-08-30 04:30:57,45.6945,-93.9002,644190,7892,,,27.0,11422.553812021777,10294420.0,,1.22510439466617,84000027.0,USA,182537.08752627828,
Mississippi,US,2021-08-30 04:30:57,32.7416,-89.6787,427640,8279,,,28.0,14368.90424504956,2244736.0,,1.935974183892994,84000028.0,USA,75424.18071138239,
Missouri,US,2021-08-30 04:30:57,38.4561,-92.2884,760234,10913,,,29.0,12386.849996448023,6523854.0,,1.4354790761791765,84000029.0,USA,106296.22050148694,
Montana,US,2021-08-30 04:30:57,46.9219,-110.4544,125616,1783,,,30.0,11753.235938614005,1621207.0,,1.419405171315756,84000030.0,USA,151687.90899513275,
Nebraska,US,2021-08-30 04:30:57,41.1254,-98.2681,242498,2319,,,31.0,12536.03169548513,3353469.0,,0.9562965467756435,84000031.0,USA,173358.92945025038,
Nevada,US,2021-08-30 04:30:57,38.3135,-117.0554,386559,6433,,,32.0,12549.981234716683,3994655.0,,1.6641702818974593,84000032.0,USA,129690.0221936811,
New Hampshire,US,2021-08-30 04:30:57,43.4525,-71.5639,106525,1415,,,33.0,7834.38539513176,2227362.0,,1.3283266838770242,84000033.0,USA,163811.42757541858,
New Jersey,US,2021-08-30 04:30:57,40.2989,-74.521,1088330,26849,,,34.0,12252.9466269017,15185982.0,,2.466990710538164,84000034.0,USA,170971.14562962513,
New Mexico,US,2021-08-30 04:30:57,34.8405,-106.2485,229509,4505,,,35.0,10945.527746897817,4101017.0,,1.9628859870419024,84000035.0,USA,195581.85240665785,
New York,US,2021-08-30 04:30:57,42.1657,-74.9481,2269038,54199,,,36.0,11663.86966375976,64767808.0,,2.3886334208594127,84000036.0,USA,332935.4867214285,
North Carolina,US,2021-08-30 04:30:57,35.6301,-79.8064,1189296,14319,,,37.0,11339.497280914225,13959013.0,,1.2039895871170845,84000037.0,USA,133094.02365579837,
North Dakota,US,2021-08-30 04:30:57,47.5289,-99.78399999999999,116838,1592,,,38.0,15331.823394946869,1658296.0,,1.3625703966175389,84000038.0,USA,217606.4414706415,
Northern Mariana Islands,US,2021-08-30 04:30:57,15.0979,145.6739,183,2,,,69.0,331.85840707964604,17542.0,,1.092896174863388,580.0,MNP,31811.25779776585,
Ohio,US,2021-08-30 04:30:57,40.3888,-82.7649,1211895,21356,,,39.0,10367.735753821937,14840371.0,,1.7617037779675633,84000039.0,USA,126959.05587256506,
Oklahoma,US,2021-08-30 04:30:57,35.5653,-96.9289,542412,7812,,,40.0,13707.757777350402,4306399.0,,1.4402336231499304,84000040.0,USA,108830.69398284698,
