S,E,I,R,D
0.9999999,1e-07,0.0,0.0,0.0
0.9999999,5e-08,5e-08,0.0,0.0
0.9999998750004192,4.999958084031932e-08,6.668041666666666e-08,8.25e-09,6.958333333333333e-11
0.999999841660956,5.8339253556216475e-08,8.058514142363188e-08,1.9252268749999998e-08,1.6238024652777777e-10
0.999999801369474,6.946110881177777e-08,9.634607221169297e-08,3.254881708489926e-08,2.7452790167566545e-10
0.9999997531979945,8.290203389881927e-08,1.1504544308549125e-07,4.8445918999828595e-08,4.086095188369382e-10
0.999999695677493,9.897151847157084e-08,1.3735385701750085e-07,6.742841710893465e-08,5.687144271309135e-10
0.9999996270037296,1.1815952264250752e-07,1.6398507906104928e-07,9.009180351682228e-08,7.598652114802688e-10
0.9999995450157022,1.4106778866448496e-07,1.9577908976886997e-07,1.1714934156189542e-07,9.88077779840229e-10
0.9999994471325897,1.6841700685624706e-07,2.3373697505598725e-07,1.4945289137375896e-07,1.2605370131019064e-09
0.9999993302732716,2.010678215621632e-07,2.7905359364292e-07,1.8801949225799686e-07,1.585820970054822e-09
0.9999991907595455,2.400476368888388e-07,3.331553118884334e-07,2.3406333520907864e-07,1.974170554541219e-09
0.999999024200521,2.8658284291267657e-07,3.9774486272888325e-07,2.8903396167067016e-07,2.4378116969192887e-09
0.999998825354647,3.4213729545287935e-07,4.7485485356765816e-07,3.546618640209359e-07,2.9913399642169845e-09
0.9999985879650743,4.0845822042031855e-07,5.669116107842193e-07,4.330129148595995e-07,3.6521796354319755e-09
0.9999983045632238,4.876309607529084e-07,6.768113532233077e-07,5.265533306389957e-07,4.441131627106681e-09
0.9999979662344491,5.821442549907516e-07,8.080110645180136e-07,6.382272039208415e-07,5.383027427009118e-09
0.9999975623385227,6.94968053976012e-07,9.646368843031296e-07,7.715490295663138e-07,6.507509491796686e-09
0.9999970801762934,8.296462562536287e-07,1.1516133723837973e-06,9.307141154763301e-07,7.849962489118542e-09
0.9999965045922385,9.904071829665388e-07,1.374817632124051e-06,1.1207303219196566e-06,9.45262443235266e-09
0.9999958175007004,1.1822951295840291e-06,1.6412630264354793e-06,1.3475752312201249e-06,1.1365912303725298e-08
0.9999949973213296,1.411326935693523e-06,1.959318100820517e-06,1.618383630581979e-06,1.3650003348848007e-08
0.9999940183065805,1.6846782168979889e-06,2.3389673643415844e-06,1.941671117217364e-06,1.637672103915656e-08
0.9999928497409728,2.0109047161870772e-06,2.792121794758842e-06,2.3276007323337255e-06,1.963178395453193e-08
0.9999914549881642,2.400205166704185e-06,3.3329883538861325e-06,2.7883008284689345e-06,2.3517486785571318e-08
0.9999897903576256,2.8647331220163955e-06,3.978509450054521e-06,3.338243906860146e-06,2.8155895578062853e-08
0.9999878037577788,3.418966407701609e-06,4.748885192819064e-06,3.9946979661191425e-06,3.369265456272206e-08
0.9999854330968073,4.080144175388315e-06,5.6681934746280496e-06,4.778264022934288e-06,4.0301519789395255e-08
0.9999826043859142,4.8687829807867585e-06,6.765125403089722e-06,5.713515946247916e-06,4.818975570825262e-08
0.99997922949258,5.80928482464012e-06,8.073856402453997e-06,6.82976163775772e-06,5.760455522755248e-08
0.9999752034833679,6.930651624415428e-06,9.635076391542399e-06,8.16194794416263e-06,6.884067205430096e-08
0.9999704014871637,8.267322016393176e-06,1.1497205784500722e-05,9.751735548767125e-06,8.224948669919745e-08
0.9999646750006196,9.860147552277295e-06,1.3717827560204593e-05,1.1648774503209743e-05,9.824976474929429e-08
0.9999578475484013,1.1757525994380785e-05,1.6365369145554866e-05,1.39122160506435e-05,1.1734040810391235e-07
0.9999497096022464,1.4016709152115095e-05,1.952107109500114e-05,1.6612501959660052e-05,1.401155468314762e-07
0.9999400126558203,1.6705301002147107e-05,2.3281282116442955e-05,1.983347869033524e-05,1.6728237077201947e-07
0.9999284623483753,1.9902957946100292e-05,2.7760121284024706e-05,2.3674890239548326e-05,1.996821550507359e-07
